cost_type,amount,time,stage_name
wip_holding,952.3535,12360.1911,Round_Grinding
processing,308218.0222,12450.6289,Round_Grinding
wip_holding,2641.8688,12450.6289,Round_Grinding
processing,59080.0491,12472.9594,Turning_Milling
wip_holding,506.4004,12472.9594,Turning_Milling
processing,87059.9384,12484.5625,Final_Inspection
wip_holding,746.228,12484.5625,Final_Inspection
processing,39597.8114,12541.1308,Final_Inspection
wip_holding,543.011,12541.1308,Final_Inspection
processing,42000.0,12544.5625,Packing
wip_holding,360.0,12544.5625,Packing
processing,75995.9742,12581.5251,QC_Turning
wip_holding,651.3941,12581.5251,QC_Turning
processing,42000.0,12604.5625,Packing
wip_holding,380.5902,12604.5625,Packing
processing,38356.2446,12636.3197,Laser_Marking
wip_holding,328.7678,12636.3197,Laser_Marking
processing,156634.423,12667.7515,Turning_Milling
wip_holding,1342.5808,12667.7515,Turning_Milling
processing,23668.794,12670.1323,Lapping
wip_holding,202.8754,12670.1323,Lapping
processing,64391.0567,12762.1195,Round_Grinding
wip_holding,551.9233,12762.1195,Round_Grinding
processing,63317.8684,12852.5736,Final_Inspection
wip_holding,542.7246,12852.5736,Final_Inspection
processing,42000.0,12912.5736,Packing
wip_holding,360.0,12912.5736,Packing
processing,193023.5627,12943.4994,QC_Turning
wip_holding,1654.4877,12943.4994,QC_Turning
processing,30244.7541,12986.7062,Laser_Marking
wip_holding,259.2407,12986.7062,Laser_Marking
processing,43690.7966,13049.1216,Lapping
wip_holding,374.4925,13049.1216,Lapping
processing,29072.2359,13090.6534,Round_Grinding
wip_holding,249.1906,13090.6534,Round_Grinding
processing,20465.6706,13119.8901,Final_Inspection
wip_holding,175.42,13119.8901,Final_Inspection
processing,154011.2753,13158.4165,Turning_Milling
wip_holding,1320.0966,13158.4165,Turning_Milling
processing,42000.0,13179.8901,Packing
wip_holding,360.0,13179.8901,Packing
processing,93408.4532,13291.8571,QC_Turning
wip_holding,800.6439,13291.8571,QC_Turning
processing,33786.194,13340.1231,Laser_Marking
wip_holding,289.5959,13340.1231,Laser_Marking
processing,24942.3572,13375.7551,Lapping
wip_holding,213.7916,13375.7551,Lapping
processing,74995.4483,13482.8914,Round_Grinding
wip_holding,642.8181,13482.8914,Round_Grinding
processing,34252.4523,13531.8235,Final_Inspection
wip_holding,293.5924,13531.8235,Final_Inspection
processing,42000.0,13591.8235,Packing
wip_holding,360.0,13591.8235,Packing
processing,194822.7454,13895.1086,Turning_Milling
wip_holding,1669.9092,13895.1086,Turning_Milling
processing,123219.2915,14071.1362,QC_Turning
wip_holding,1056.1654,14071.1362,QC_Turning
processing,26642.7729,14109.1973,Laser_Marking
wip_holding,228.3666,14109.1973,Laser_Marking
processing,17316.1444,14133.9346,Lapping
wip_holding,148.4241,14133.9346,Lapping
processing,87732.9677,14259.2674,Round_Grinding
wip_holding,751.9969,14259.2674,Round_Grinding
processing,255914.479,14322.175,Turning_Milling
wip_holding,2193.5527,14322.175,Turning_Milling
processing,13494.6924,14341.4531,QC_Turning
wip_holding,115.6688,14341.4531,QC_Turning
processing,59553.1747,14344.3434,Final_Inspection
wip_holding,510.4558,14344.3434,Final_Inspection
processing,23451.5303,14374.9553,Laser_Marking
wip_holding,201.0131,14374.9553,Laser_Marking
processing,42000.0,14404.3434,Packing
wip_holding,360.0,14404.3434,Packing
processing,292130.723,15033.7916,Turning_Milling
wip_holding,2503.9776,15033.7916,Turning_Milling
processing,475090.4449,15053.6559,Lapping
wip_holding,4072.2038,15053.6559,Lapping
processing,93444.3937,15167.2836,QC_Turning
wip_holding,800.9519,15167.2836,QC_Turning
processing,24751.7375,15202.6432,Laser_Marking
wip_holding,212.1578,15202.6432,Laser_Marking
processing,162475.7816,15285.7642,Round_Grinding
wip_holding,1392.6496,15285.7642,Round_Grinding
processing,45748.8022,15351.1196,Final_Inspection
wip_holding,392.1326,15351.1196,Final_Inspection
processing,113108.4891,15364.2268,Lapping
wip_holding,969.5013,15364.2268,Lapping
processing,42000.0,15411.1196,Packing
wip_holding,360.0,15411.1196,Packing
processing,185946.8811,15515.2037,Turning_Milling
wip_holding,1593.8304,15515.2037,Turning_Milling
processing,16880.3913,15539.3186,QC_Turning
wip_holding,144.6891,15539.3186,QC_Turning
processing,128542.3276,15547.8587,Round_Grinding
wip_holding,1101.7914,15547.8587,Round_Grinding
processing,25417.7728,15575.6297,Laser_Marking
wip_holding,217.8666,15575.6297,Laser_Marking
processing,39401.1636,15604.1461,Final_Inspection
