product_id,stage_name,stage_start,stage_end,wait_time_min,process_time_min,defect_occurred
60,Lapping,30918.2328,31074.2022,0.0,155.9694,False
61,Turning_Milling,31326.1958,31668.9567,0.0,342.7609,False
61,QC_Turning,31668.9567,31679.9274,0.0,10.9708,False
61,Laser_Marking,31679.9274,31776.7728,0.0,96.8453,False
61,Lapping,31776.7728,31850.7403,0.0,73.9675,False
62,Turning_Milling,31491.9683,31941.0039,0.0,449.0356,False
62,QC_Turning,31941.0039,31954.3801,0.0,13.3762,False
62,Laser_Marking,31954.3801,32004.1141,0.0,49.734,False
60,Round_Grinding,31074.2022,32013.3804,0.0,939.1782,False
61,Round_Grinding,31850.7403,32039.8913,0.0,189.151,False
60,Final_Inspection,32013.3804,32075.2899,0.0,61.9095,False
62,Lapping,32004.1141,32108.6441,0.0,104.53,False
60,Packing,32075.2899,32135.2899,0.0,60.0,False
61,Final_Inspection,32075.2899,32188.5237,35.3986,113.2338,False
61,Packing,32188.5237,32248.5237,0.0,60.0,False
62,Round_Grinding,32108.6441,32414.4628,0.0,305.8187,False
63,Turning_Milling,32353.4108,32539.5918,0.0,186.181,False
62,Final_Inspection,32414.4628,32545.7872,0.0,131.3244,False
63,QC_Turning,32539.5918,32568.2411,0.0,28.6493,False
63,Laser_Marking,32568.2411,32601.12,0.0,32.8788,False
62,Packing,32545.7872,32605.7872,0.0,60.0,False
63,Lapping,32601.12,32675.7305,0.0,74.6105,False
